State,district,total confirmed,today confirmed
Bihar,Lakhisarai,1,0
Bihar,Gopalganj,3,0
Bihar,Gaya,5,0
Bihar,Begusarai,5,0
Bihar,Saran,1,0
Bihar,Bhagalpur,1,0
Bihar,Nawada,1,0
Manipur,Imphal West,1,0
Manipur,Unknown,1,0
Mizoram,Aizawl,1,0
Goa,North Goa,4,0
Goa,Unknown,3,0
Andaman and Nicobar Islands,South Andaman,5,0
Andaman and Nicobar Islands,North and Middle Andaman,1,0
Andaman and Nicobar Islands,Unknown,5,0
Jharkhand,Ranchi,7,0
Jharkhand,Hazaribagh,1,0
Jharkhand,Bokaro,6,1
Assam,Cachar,2,0
Assam,Kamrup Metropolitan,5,0
Assam,Jorhat,8,0
Assam,Goalpara,3,0
Assam,Nalbari,3,0
Assam,South Salmara Mancachar,1,0
Assam,Kamrup,1,0
Assam,Morigaon,1,0
Assam,Golaghat,1,0
Assam,Lakhimpur,1,0
Assam,Dhubri,2,0
Assam,Hailakandi,1,0
Arunachal Pradesh,Lohit,1,0
Dadra and Nagar Haveli,Unknown,1,0
Tripura,Gomati,1,0
